user_id,parking_id,driving_years,age_group,prefer_cheaper,prefer_near,prefer_easy,chosen
u_init,초안산근린공원주차장(구),0,20,1,1,1,0
u_init,마들스타디움(근린공원)(구),0,20,1,1,1,0
u_init,마장동(건물) 공영주차장(구),0,20,1,1,1,0
u_init,영등포여고 공영(구),0,20,1,1,1,0
u_init,당산근린공원 공영(구),0,20,1,1,1,0
u_init,대림운동장(구),0,20,1,1,1,0
u_init,휘경마을 공영주차장(구),0,20,1,1,1,0
u_init,중산공영주차장(구),0,20,1,1,1,0
u_init,방학동 도깨비시장 공영주차장(구),0,20,1,1,1,0
u_init,은평평화공원(구),0,20,1,1,1,0
u_init,압구정 428 공영주차장(구),0,20,1,1,1,0
u_init,신림동공영주차장(구),0,20,1,1,1,0
u_init,포이초교 공영주차장(구),0,20,1,1,1,0
u_init,수유2동 공영주차장(구),0,20,1,1,1,0
u_init,송중동(임시)공영주차장(구),0,20,1,1,1,0
u_init,바람개비주차장(구),0,20,1,1,1,0
u_init,구로디지털단지역 공영주차장(시),0,20,1,1,1,0
u_init,상계2동 공영주차장(구),0,20,1,1,1,0
u_init,논현로22길(시),0,20,1,1,1,0
u_init,신당동 공영주차장(구),0,20,1,1,1,0
u_init,남산동 공영주차장(구),0,20,1,1,1,0
u_init,충현어린이공원 공영주차장(구),0,20,1,1,1,0
u_init,불암산 공영주차장(구),0,20,1,1,1,0
u_init,역삼1문화센터 공영주차장(구),0,20,1,1,1,0
u_init,언북초교 공영주차장(구),0,20,1,1,1,0
u_init,삼성1문화센터 공영주차장(구),0,20,1,1,1,0
u_init,논현초교 공영주차장(구),0,20,1,1,1,0
u_init,언주초 공영주차장(구),0,20,1,1,1,0
u_init,연광초교지하공동주차장(구),0,20,1,1,1,0
u_init,구파발역 공영주차장(시),0,20,1,1,1,0
u_init,살곶이(평면) 공영주차장(구),0,20,1,1,1,0
u_init,응봉역공영주차장(구),0,20,1,1,1,0
u_init,마장축산물시장(건물) 공영주차장(구),0,20,1,1,1,0
u_init,볏골공원 지하공영주차장(구),0,20,1,1,1,0
u_init,한누리(구),0,20,1,1,1,0
u_init,동작주차공원(구),0,20,1,1,1,0
u_init,신사동 제1공영주차장(구),0,20,1,1,1,0
u_init,길음역환승주차장(구),0,20,1,1,1,0
u_init,잠원동방음언덕형공영주차장(구),0,20,1,1,1,0
u_init,반포2동 공영주차장(구),0,20,1,1,1,0
u_init,반포서래공영주차장[서래마을 3호점](구),0,20,1,1,1,0
u_init,청계산 청룡주차장(구),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
u_init,봉천복개3 공영주차장(시),0,20,1,1,1,0
